Source,Target,Type,Avg Date,Start Date,End Date,Transcription,Book Certainty,Date Certainty,Person Certainty
Christopher Hatton,Tiberius AXV,Undirected,1639,1639,1639,"Christopher Hatton, 1639 (165: this or Vesp. A-XIV)",False,True,True
Fitton,Tiberius CV,Undirected,1653,1653,1653,Fitton,True,True,True
,Tiberius AXIII,Undirected,1616,,1616,"John Selden, 1616 or before (111.10)",True,True,True
Arthur Agarde,Faustina CV,Undirected,1613,1612,1615,"Arthur Agarde,",True,True,True
Henry Hyde,Titus CI,Undirected,1691,1691,1691,Henry Hyde,True,True,True
Nicholas Gilborne,Otho EIV,Undirected,1611,,1611,Nicholas Gilborne,True,True,True
George Carew,Titus BXIII,Undirected,1618,1617,1619,"? George Carew (d. 1629), c.1618 (Vesp. F.XIII, no. 324: this or Tit. BX. The Vesp. letter is undated but refers to Carew’s service for the king in Ireland about eight years previously. After having served Elizabeth as President of Munster until 1603, he was sent to Ireland only once, in 1610, by James I.)",False,True,False
William Camden,Tiberius AX,Undirected,1606,1606,1606,William Camden,True,True,True
John Dodderidge,Otho EXI,Undirected,1609,1609,1609,"John Dodderidge, ? 1609 (Jul. C.III, fol. 150: ? this)",True,True,True
unidentified borrower|George Allington|Patrick Young,Claudius DVI,Undirected,1611,,1611,unidentified borrower,True,True,True
Edward Herbert,Caligula DX,Undirected,1636,1636,1636,"(of part of this and D.XI) Edward Herbert, 1636 (117.7 and 119.2).",True,True,True
Peter Balle,Tiberius AVI,Undirected,1651,1651,1651,Peter Balle,False,True,True
George Carew,Caligula DIX,Undirected,1604,1604,,"(of parts of this and / or Tit. B.VI) George Carew (d. 1612), after Christmas 1604 (129.13)",False,True,True
,Cleopatra CII,Undirected,1656,1656,1657,Wildbore,True,True,True
Bulstrode Whitelocke,Galba BXII,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (231.10).",True,True,True
William Camden,Vitellius CXVII,Undirected,1614,1612,1616,"(of fols 339-80, artt. 8, 9) William Camden, 1612-16 (75.7).",True,True,True
Henry Montagu,London British Library Additional MS 33216,Undirected,1631,,1631,Henry Montagu,False,True,True
Edward Herbert,Vespasian FIX,Undirected,1636,1636,1636,Edward Herbert,False,True,True
Peter Balle,Nero AXVI,Undirected,1651,1651,1651,"Balle, 1651 (127: this, Tib. A.VI, Claud. C.XI, Nero A-XV, Vesp. A-XIX, Tit. A.I or Dom. XV).",True,True,True
Arthur Agarde|Walter Raleigh,Nero DII,Undirected,1613,1612,1615,Agarde,True,True,True
Edward Herbert,Cleopatra BV,Undirected,1636,1636,1636,Edward Herbert,False,True,True
John Selden,Vitellius FXVIII,Undirected,1641,1641,1641,Selden,True,True,True
William Camden,Vitellius CVI,Undirected,1620,1618,1623,"William Camden (Vesp. F.XIII, no. 326, the evi- dence for this loan, is an undated letter from Camden to Cotton, but as he refers in it to the ‘now Earle of Leicester, and his brother Sir Philipp’ it can presumably be dated to between 1618, the date of Robert Sidney's creation as earl, and 1623, the year of Camden's death)",True,True,True
Hugh Holland,Julius CV,Undirected,1631,,1631,Hugh Holland,True,True,True
Bulstrode Whitelocke,Galba CVII,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
John Egerton,Julius FIII,Undirected,1626,1625,1627,"John Egerton, c.1626 (Jul. C.III, fol. 165: ? this).",True,True,True
Robert Bowyer,Otho CI,Undirected,1621,1621,1621,Bowyer,True,True,True
Bulstrode Whitelocke,Galba BVI,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
William Greene,Claudius EVII,Undirected,1639,1639,1639,Greene,True,True,True
Bulstrode Whitelocke,Galba CIX,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
John Selden,Caligula DIX,Undirected,1621,1621,1621,"(? distrib- uted in Calig. D.VI-E.IV) John Selden, 1621 (2.86)",True,True,True
William Noy,Cleopatra FI,Undirected,1631,,1631,"Noy, by 1631 (113.29: this or Cleo F.Il)",False,True,True
Fulke Greville,Cleopatra AXVI,Undirected,1616,1615,1617,Greville,True,True,True
Richard Bancroft,Titus BI,Undirected,1611,1610,1612,"(of the same folios) Bancroft or Abbot, 1610-12, via Hart (131.3)",True,True,True
John Selden,Julius AXI,Undirected,1640,1640,1640,"John Selden, 1640 (208.2).",True,True,True
Godfrey Goodman,Cleopatra EI,Undirected,1654,1653,1655,Goodman,True,True,True
,Tiberius EVIII,Undirected,1631,,1631,by 1631 (113.37).,True,True,True
Robert Cecil,Vespasian CI,Undirected,1608,1605,1612,"(of fols 5-197) Robert Cecil, through Thomas Wilson, ¢c.1605-12 (12.5)",True,True,True
Henry Montagu,Faustina CII,Undirected,1604,1604,,"(of fols 27-28, art. 4, fols 79-84v, art. 18) Henry Montagu, after Christmas 1604 (129.10",True,True,True
William Dugdale,Julius CVI,Undirected,1654,1653,1655,William Dugdale,True,True,True
Edward Coke,Vitellius EV,Undirected,1621,1621,1621,"Edward Coke, ¢.1612 (53.2), ¢.1612-21 (83.6), 1621 (2.66)",True,True,True
Patrick Young,Vitellius DII,Undirected,1616,1615,1617,Patrick Young,True,True,True
Augustine Vincent,Vitellius DX,Undirected,1621,,1621,Augustine Vincent,False,True,True
St Lo Kniveton,Cleopatra CVII,Undirected,1616,1615,1617,St Lo Kniveton,True,True,True
Mr Jonston,Titus BXII,Undirected,1615,1615,1616,"Mr Jonston’, c.1615-16 (95.1: this or Tit, B.XIII)",False,True,True
John Selden,Galba BVIII,Undirected,1621,1621,1621,"John Selden, 1621 (2.87: ? distributed in Galba B.I-XI1)",True,True,True
John Pory,Vitellius DVII,Undirected,1612,,1612,Pory,False,False,True
John Bradshaw,Titus AVIII,Undirected,1616,1615,1617,"John Bradshaw, c.1615-17 (88.1: this or Faust A.IID)",False,True,True
John Selden,Vitellius CIV,Undirected,1638,1637,1639,"John Selden, c.1638 (163.5: ? this or ? Nero D.VI)",False,True,True
James Ussher,Julius DIII,Undirected,1634,1633,1635,Ussher,False,True,False
Godfrey Wildbore,Nero CVII,Undirected,1656,1656,1657,Godfrey Wildbore,True,True,True
Richard Bancroft,Tiberius AIX,Undirected,1608,1608,1608,Richard Bancroft,False,True,True
John Selden,Tiberius CIX,Undirected,1638,1637,1639,John Selden,True,True,True
Bulstrode Whitelocke,Galba BV,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (231.5).",True,True,True
John Selden,Vitellius DV,Undirected,1640,1640,1640,John Selden,True,False,True
Henry Savile,London British Library Royal MS 16 CXXV,Undirected,1611,1611,1611,Henry Savile,True,True,True
William Camden,Claudius AVI,Undirected,1623,,1623,"William Camden, date unknown but before 1623 (143: fols 156-284y, artt. 2 and 3 of this, Otho A.XIV, C.VII, Vit. A.III, D-XITI, EMIII, Vesp. A-XII or Dom. XII).",False,True,True
Lord William Howard,Tiberius CVI,Undirected,1621,1621,1621,"Lord William Howard, 1621 (2.58: this or Nero C.IV)",False,True,True
William Segar,Julius CIX,Undirected,1615,1615,1616,"(? of fols 25-77, artt. 6-7) William Segar, 1615-16 (96.1)",True,True,True
Daniel Dunn,Nero DVI,Undirected,1611,,1611,Daniel Dunn,True,True,True
James Ussher,Claudius EIII,Undirected,1611,1610,1612,James Ussher,False,True,True
John Selden,Cleopatra FVI,Undirected,1638,1637,1639,John Selden,True,True,True
John Selden,Vitellius FXVIII,Undirected,1638,1637,1639,"John Selden, ¢.1638 (163.3: (1) this, Tib. B.X, Calig. A.IV or Vit. F.XIX, or (2) Tib. A.I or Vit. A.IV)",False,True,True
John Selden,Vitellius DII,Undirected,1638,1638,1638,John Selden,True,True,True
William Le Neve,Vitellius CV,Undirected,1641,1641,1641,William Le Neve,True,True,True
John Selden,Titus AVIII,Undirected,unknown date,,,"? John Selden (D.M. Barratt, “The library of John Selden and its later history’, Bodleian Library Record, 3 (1950-51), 135, 213: the wording for the manuscript in Selden’s catalogue echoes the opening words of the contents-table in Tit. A.VIII, although notes on fols Iv-2 of Faust. A.III may well be by Selden)",True,True,False
Robert Cecil,Caligula DVII,Undirected,1608,1605,1612,"(? distributed in Calig. D-VI-E.V) Robert Cecil, through Thomas Wilson, ¢.1605-12 (12.1)",True,True,True
James I,Titus CX,Undirected,1616,1615,1617,"? James I , c.1615-17 (93.7: ? fols 73-73v, art. 19, of this)",True,True,False
Augustine Lindsell,Nero EV,Undirected,1622,1621,1623,Augustine Lindsell,True,True,True
Patrick Young,Titus DXI,Undirected,1616,1615,1617,"Patrick Young, ¢.1616 (49.13)",True,True,True
Edward Herbert,Julius FVI,Undirected,1636,1636,1636,Edward Herbert,True,True,True
William Camden,Vitellius DVII,Undirected,1617,1617,1617,"William Camden, 1617 (6.4)",True,True,True
William Dugdale,Domitian XV,Undirected,1656,1656,1656,"William Dugdale, 1656 (Appx XLVI, fol. 1v).",True,True,True
John Selden,Galba BV,Undirected,1621,1621,1621,John Selden,True,True,True
Richard Bancroft,Galba EX,Undirected,1608,1608,1608,Richard Bancroft,True,True,True
Patrick Young,Titus DXXV,Undirected,1616,1615,1617,Patrick Young,True,True,True
Richard Montague,Claudius CIX,Undirected,1620,1619,1621,"Richard Montague,",False,True,True
Augustine Lindsell,Claudius BII,Undirected,1621,1621,1621,"Augustine Lindsell, 1621 (2.34: the two entries in 6018 probably reflect this loan).",True,True,True
Roger Dodsworth,Oxford Bodleian Library MS Dodsworth 76 Sc 5018,Undirected,1622,1622,1622,Roger Dodsworth,True,True,True
Hart,Titus AI,Undirected,1612,1612,1612,Hart,True,True,True
William Lisle,Otho BXI,Undirected,1621,1621,1621,William Lisle,True,True,True
St Lo Kniveton,Tiberius AX,Undirected,1616,1615,1617,"St Lo Kniveton, 1615, by 1617 (5.2, 45.20, 111.34).",True,True,True
Percy Herbert,Caligula AXIII,Undirected,1661,1661,1662,"Percy Herbert, by the hand of Knasbrough and Vaughan, 1661/2 (267.2).",True,True,True
George Allington,Nero CX,Undirected,1611,,1611,Allington,True,True,True
John Selden,Cleopatra EV,Undirected,1640,1640,1640,John Selden,False,True,True
Patrick Young,Nero CIII,Undirected,1621,1621,1621,Patrick Young,True,True,True
Arthur Agarde,Galba EIII,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
Robert Cecil,Titus BVI,Undirected,1608,1605,1612,"(of (1) parts of this or (2) Vesp. F.VI) Thomas Wilson, for Robert Cecil, c.1605-12 (12.8).",False,True,True
Patrick Young,Cleopatra EIII,Undirected,1616,1615,1617,"(of fols 80-81, art. 43) Patrick Young, ¢.1616 (49.16",True,True,True
John Selden,Nero AXVII,Undirected,1638,1638,1638,John Selden,True,True,True
Francis Tate,Vespasian EXI,Undirected,1613,1613,1613,"Francis Tate, 1613 (fol. 43, 40.2)",True,True,True
