Id,Label,Note,Subjects,Subjects_Primary,Versification,_description,Macaronic,Author(s),Author confidence,Title(s),Bibliographic Ghosts,Type,n_witnesses
DIMEV 2478,In bale be blithe for that is best,,"adversity, patience in",adversity,— eight-line — ababbcbc,‘In baill be blyth for it is best’ — five 8-line stanzas with this refrain,,,,‘In baill be blyth for it is best’,,Text,1
DIMEV 4243,Of wrenches unware,,Fortune;Dunbar (Scotland);adversity,Fortune;Dunbar (Scotland);adversity,— four-line — abba,A quatrain on unexpected adversity,,,,,,Text,1
DIMEV 5512,The twelve degrees of pacience thou mayest behold here,,"virtues;adversity, patience in",virtues;adversity,— eight-line — ababbcbc,‘The xii degrees of pacyence’ — one 8-line stanza (probably the first of twelve),,,,‘The xii degrees of pacyence’,,Text,0
DIMEV 35,A false beginning,,"greed;advice, moral",greed;advice,— three-line — aaa,Cupiditas est — three lines,,,,,,Text,1
DIMEV 90,A lesson of lowness,,"sermons, verse in;advice, moral;aphorisms",sermons;advice;aphorisms,— three-line — aaa,Verses in a Latin sermon — three short rhyming phrases,,,,,,Text,1
DIMEV 91,A lesson of mercy and forgiveness,,"sermons, verse in;advice, moral;sin;mercy",sermons;advice;sin;mercy,— two-line — aa,"Verses about lessons to be learned to withstand sin, in a Latin sermon — two couplets",,,,,,Text,1
DIMEV 108,A man may awhile,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 25.","warnings;advice, moral",warnings;advice,— seven-line — aabbbbb,‘War before’ — one 7-line stanza,,,,‘War before’,,Text,1
DIMEV 139,A philosopher a good clerk secular,,"envoys;advice;marriage, against",envoys;advice;marriage,"— seven-line, eight-line — ababbcc, ababbcbc","Advice to an old gentleman who wished for a young wife, perhaps by Lydgate — seventy-two rhyme royal stanzas and Envoy of two 8-line stanzas",,John Lydgate,uncertain,,,Text,1
DIMEV 146,A pretty wench may be pleasure,"Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 41.","lovers, advice to;songs;servants;advice",lovers;songs;servants;advice,"— three-line, nine-line — aaa, aabaccaaa",Spend your money on a pretty wench — two 3-line stanzas (aaa) and nine-line burden: ‘Joly felowe joly / joly felowe joly / Yf thou haue but lytyll mony / Spend it not in foly / But spend yt on a prety wenche / & she shal help the at a pinche / Hey joly felow joly joly / Hey joly felow joly / Hey joly’,,,,,,Text,0
DIMEV 170,A tapet of truth,,"sermons, verse in;Christ, thanksgivings to;Christ, love toward;advice, spiritual",sermons;Christ;advice,— four-line — abcb,"Preparations for offering hospitality to Christ, in a Latin sermon Qui custos domini sui gloriabitur, by Friar Nicholas Philip — four lines",,Friar Nicholas Philip,,,,Text,1
DIMEV 211,Acquaintance of lordship will I noght,,aphorisms;advice,aphorisms;advice,— two-line — aa,Aphoristic advice on the price of lordship — one couplet,,,,,,Text,1
DIMEV 218,Adam scrivein if ever it thee befall,,"advice;verse curse;chastisement;manuscripts, production of",advice;verse curse;chastisement;manuscripts,— seven-line — ababbcc,‘Chaucer’s wordes unto Adam’ — one stanza rhyme royal,,Geoffrey Chaucer,attributed,‘Chaucer’s wordes unto Adam’,,Text,2
DIMEV 230,After giving I speak of taking,Cf. 4161 and 6002.,advice;greed,advice;greed,— five-line — aabab,"William Dunbar, ‘Of discretioun in taking’ — ten 5-line stanzas including refrain: ‘In taking sowld discretioun be’",,William Dunbar,,‘Of discretioun in taking’,,Text,3
DIMEV 243,After the sayings of men that been hold,,"precepts, moral;advice",precepts;advice,— two-line — aa,On Discretion — 4 lines,,,,,,Text,1
DIMEV 303,Alas what ruleth the bridle rein,,alphabetic poems;advice,alphabetic poems;advice,"— four-line, seven-line, two-line — abab, ababbcc, aa","An alphabetical poem — seventy-eight lines in 19 stanzas of varying length, each line of a stanza beginning with same word, with ‘Wo worth’ anaphora; some stanzas (like that for ‘q’) in Latin",Latin,,,,,Text,1
DIMEV 387,All the words that drawen to sin / Think that venom is therein,,"advice, moral",advice,— two-line — aa,A couplet translating ‘Omne seminarium voluptatis venenum puta’ in John Grimestone’s sermon notes,,John Grimestone,,,,Text,1
DIMEV 416,Almighty God conserve us from care,,"advice, moral;flatterers, against;speech, advice concerning",advice;flatterers;speech,— eight-line — ababbcbc,‘Whate-euer thow say avyse the welle’ — nine 8-line stanzas,,,,‘Whate-euer thow say avyse the welle’,,Text,1
DIMEV 422,Almighty God in Trinity,,"advice, spiritual;meditations",advice;meditations,— eight-line — abababab,‘Stimulus Conscientie Minor’ — in 8-line stanzas with Latin prose sub-headings of varying lengths,,,,‘Stimulus Conscientie Minor’,,Text,7
DIMEV 423,Almighty God in trinity / In whom onely is persons three,For four lines of the Speculum occurring separately see 5783.,"advice, spiritual",advice,— two-line — aa,"William of Nassyngton, Speculum Vitae — in couplets",,William of Nassington,,Speculum Vitae,"Oxford, Bodleian Library Rawlinson C.884 (SC 12718): see Oxford, Bodleian Library Rawlinson C.316 (SC 12172); London, British Library Harley 5977: see 3581.",Text,44
DIMEV 459,Always to say sooth thou shalt never come forth,,"advice, moral;speech, truth-telling",advice;speech,— two-line — aa,On speaking the truth — two long couplets,,,,,,Text,1
DIMEV 462,Among all other take heed of one thing,,"advice, moral",advice,— two-line — aa,Don’t meddle — a single couplet,,,,,,Text,1
DIMEV 466,Among the wise of Paradise,,"heaven, joys of;hell, pains of;advice, moral",heaven;hell;advice,— four-line — abab,Advice about characteristics of those who come to heaven or to hell — two quatrains,,,,,,Text,1
DIMEV 495,An old sad saw unknown uncast,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 150.","advice, moral;carols, of moral counsel",advice;carols,"— five-line, two-line — aaabb, aa","Cast not away thine Old for New — four 5-line stanzas (aaabb) including refrain, ‘…elles most we drynk as we brew’, and burden (aa): ‘An old sawe hath be fownd trewe…’",,,,,,Text,2
DIMEV 520,And I were a maiden / As many one is,"For these and later MS copy, see Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 154; Thersites, pr. Dodsley, ed. Hazlitt (1877) XHazlitt, William Carew. Select Collection of Old English Plays. 15 vols. 4th ed. London: Reeves and Turner, 1874, 1877; orig. ed. Robert Dodsley , 1.405; for this tune indicated for a nativity carol, see 5074.","women, as speakers/narrators;love, vicissitudes of;laments;advice, moral",women;love;laments;advice,— four-line — abab,A girl’s progress in love — three quatrains,,,,,,Text,3
DIMEV 542,And therefore ye lordings that lovedays will hold,Including a variant of 5722.,"lovedays;advice, to magistrates",lovedays;advice,"— four-line, two-line — abab, aa","An admonition to officers of justice at lovedays — 196 lines in quatrains and couplets, with a few passages in Latin",,,,,,Text,1
DIMEV 544,And thou wist what thing it were,"Cf. 2104; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 162.","alphabetic poems;advice, moral;manners",alphabetic poems;advice;manners,— two-line — aa,An ABC poem on morals and manners — 82 lines in doggerel couplets in hand of Richard Kaye (sixteenth century),,Richard Kaye,,,,Text,1
DIMEV 564,As a man may slay himself with his own knife,,"advice, moral",advice,— two-line — aa,Moral saying on the sin of lust — one couplet,,,,,,Text,1
DIMEV 599,As I fared through a forest free / There birds song from year to year,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler TM 182.","advice, moral;transitoriness, of world;birds, as speakers/narrators",advice;transitoriness;birds,— eight-line — ababbcbc,"On the transitoriness of worldly fortune — seven 8-line stanzas with refrain, ‘Welfare hath no sikernes’",,,,,,Text,1
DIMEV 603,As I gan wander in an evening / Between the corns,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 183.","advice, to prelates;clergy, criticism/satire of",advice;clergy,— eight-line — ababbcbc,"Advice to Prelates — six 8-line stanzas, with refrain, ‘To kepe ther shepe well in fold’",,,,,,Text,1
DIMEV 632,As I was so be ye,Cf. 5138.,"epitaphs;advice, moral",epitaphs;advice,— two-line — aa,"Moral verses for an epitaph, including gnomic lines on giving — three couplets",,,,,,Text,0
DIMEV 754,Be cleanly clad,,"advice, moral;peace",advice;peace,— eight-line — ababbcbc,"Moral counsels: do not be at strife with your betters, your fellows, or your subjects — one eight-line stanza",,,,,,Text,1
DIMEV 764,Be low and loving,,"advice, moral;virtues;humility",advice;virtues;humility,— two-line — aa,Be Humble and Shrive Thee Oft — three couplets,,,,,,Text,1
DIMEV 766,Be merry and suffer as I thee vise,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 240.",advice,advice,"— four-line, two-line — aa, aaab",Suffer and be Merry — five quatrains (aaab) and 2-line burden (bb): ‘He is wise so most I goo / That can be mery & suffer woo’,,,,,,Text,1
DIMEV 782,Be ye an lover think ye not ye should,Cf. 2430.,"advice, moral",advice,— eight-line — ababbcbc,"William Dunbar, ‘Gude counsale’ — three 8-line stanzas",,William Dunbar,,‘Gude counsale’,,Text,1
DIMEV 790,Before thou pretend any evil in thy heart,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 250.","advice, moral;death, approach of;mortality",advice;death;mortality,— two-line — aa,"Remember the end, ‘quod Carter’ — one couplet",,,,,,Text,1
DIMEV 803,Behold man lere and see,,"advice, spiritual",advice,— two-line — aa,Verse introduction for a prayer — one couplet,,,,,,Text,1
DIMEV 816,Behold we wretches in this world present,,"advice, moral;precepts",advice;precepts,— four-line,"Moralizing verses — twenty-four quatrains, and Latin headings",Latin,,,,,Text,1
DIMEV 825,Bernardus quod aliqui seruiunt carni per luxuriam and liking,,"sermons, verse in;advice, spiritual;Saint Bernard;sins, deadly",sermons;advice;Saint Bernard;sins,— four-line — aaaa,"Sayings of St Bernard, in a Sermones 13 — four macaronic monorhyming lines",,,,,,Text,1
DIMEV 830,Beset thine poverties Sir Eeode,See 6762.,"advice, moral;aphorisms;crucifixion;Christ, warnings to man",advice;aphorisms;crucifixion;Christ,— two-line — aa,Moral advice to ‘Sir Eode’ — two couplets,,,,,,Text,1
DIMEV 850,Beware of the hollow tree,,"advice, moral;oaths, criticism of",advice;oaths,— two-line — aa,‘Cusse hym not to ofte’ — three short couplets,,,,‘Cusse hym not to ofte’,,Text,1
DIMEV 882,Blowing was made for great game,"For burden appearing separately see 1833, and Windsor, St George’s Chapel, Windsor E.I.I, f. 95v, pr. bad key, 74; Greene (1977) XGreene, Richard Leighton. The Early English Carols. Oxford: Clarendon, 1935; 2nd ed., rev., Oxford: Clarendon, 1977 (see also Greene (1935) XGreene, Richard Leighton. The Early English Carols. Oxford: Clarendon, 1935; 2nd ed., rev., Oxford: Clarendon, 1977), 434.","advice, moral;boasting, against",advice;boasting,"— four-line, two-line — aa, aaab",Against Blowing one’s own Horn — six quatrains (aaab) and burden: ‘I hold hym wyse and wel itaught / Can bar an horn and blow it nought’,,,,,,Text,1
DIMEV 900,Busy in study be thou child,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 286; translating ‘Sidulus in studio puer in templo pius esto…’, which follows.","advice, moral;proverbs;translations",advice;proverbs;translations,— two-line — aa,Advice on good behaviour — two short couplets,,,,,,Text,1
DIMEV 917,But wit pass will / Vice will virtue spill,"Includes 560, 1506, 4811, 6700.","advice, moral",advice,— two-line — aa,"Moral Distiches, prefixed by a quatrain ‘Fyrst þu sal luf god and drede’ — introductory quatrain and 104 couplets",,,,,,Text,1
DIMEV 925,By a way wandering as I went / Sore I sighed sad,"Number and order of stanzas varies (see Rigg (1968) XRigg, A. George. Glastonbury Miscellany of the Fifteenth Century. Oxford, 1968, 55); see also 449.","Job;instruction, religious;advice, spiritual",Job;instruction;advice,"— alliterative, eight-line — ababbcbc","’Thank God of All’ — up to seventeen 8-line stanzas, ababbcbc, alliterative, with refrain, ‘thank God of all’",,,,Thank God of All,,Text,7
DIMEV 951,By wit of man all thing that is contrived,,"advice, moral;precepts;moderation",advice;precepts;moderation,— eight-line — ababbcbc,"John Lydgate, ‘A song of Iust Mesure’ — in 8-line stanzas with refrain, ‘Nothyng commendyd but it in measure be’",,John Lydgate,,‘A song of Iust Mesure’,,Text,2
DIMEV 973,Chastize your children while they been young,,"advice, to parents;sermons, verse in;proverbs",advice;sermons;proverbs,— two-line — aa,"A stanza ascribed to Hendyng, but not found in this form in the Proverbs of Hendyng (see 2800 and 3383), a tag in the Fasciculus morum, and in sermons — four lines in couplets",,Hendyng,attributed,,,Text,12
DIMEV 976,Children and young men that come to this City,,"advice, moral;apprenctices",advice;apprentices,— six-line — aabaab,Moral advice to Apprentices — eight 6-line stanzas,,,,,,Text,1
DIMEV 1041,Close thy heart from envy,,"sermons, verse in;Christ, thanksgivings to;Christ, love toward;advice, spiritual",sermons;Christ;advice,— two-line — aa,"The four corners of the ‘tapȝte of trewthe’ prepared to receive Christ, in a Latin sermon, Qui custos domini sui gloriabitur, by Friar Nicholas Philip — two couplets",,Friar Nicholas Philip,,,,Text,1
